point,mean_ltime,mean_x_proj,mean_y_proj,mean_latitude,mean_longitude,n,date
2019-07-15T20:30:00Z,2019-07-15T20:29:55Z,371400.8333645788,9929385.225178486,-0.6387429311921639,-76.15568070206615,12,2019-07-15
2019-07-15T20:45:00Z,2019-07-15T20:44:55Z,371385.18599221006,9929426.42021226,-0.6383702717749433,-76.15582121769897,12,2019-07-15
2019-07-15T21:00:00Z,2019-07-15T20:59:55Z,371374.329104526,9929431.240176646,-0.6383266509573204,-76.15591876209898,12,2019-07-15
2019-07-15T21:15:00Z,2019-07-15T21:14:55Z,371335.3069036762,9929439.864629794,-0.6382485595601312,-76.15626937708994,12,2019-07-15
2019-07-15T21:30:00Z,2019-07-15T21:29:55Z,371305.57917092525,9929415.674872834,-0.6384673062583468,-76.15653654329068,12,2019-07-15
2019-07-15T21:45:00Z,2019-07-15T21:44:56Z,371309.9081556595,9929412.77004776,-0.6384935905083932,-76.15649765124898,12,2019-07-15
2019-07-15T22:00:00Z,2019-07-15T21:59:55Z,371392.03352891566,9929430.816356141,-0.6383305206005817,-76.15575968054775,12,2019-07-15
2019-07-15T22:15:00Z,2019-07-15T22:14:55Z,371392.43300740886,9929438.11221576,-0.6382645270836677,-76.15575607631568,12,2019-07-15
2019-07-16T10:45:00Z,2019-07-16T10:45:06Z,371390.92532990867,9929432.88483887,-0.6383118079917572,-76.15576963404907,12,2019-07-16
2019-07-16T11:00:00Z,2019-07-16T11:00:06Z,371391.4096403095,9929429.347487582,-0.638343805908375,-76.15576528944091,12,2019-07-16
2019-07-16T11:15:00Z,2019-07-16T11:15:06Z,371391.031498978,9929423.966694197,-0.6383924768336899,-76.15576869808265,12,2019-07-16
2019-07-16T11:30:00Z,2019-07-16T11:30:06Z,371389.89755793725,9929429.89154854,-0.6383388815582954,-76.15577887509899,12,2019-07-16
2019-07-16T11:45:00Z,2019-07-16T11:45:07Z,371308.82908862614,9929416.643173575,-0.638458554158354,-76.15650733933239,12,2019-07-16
2019-07-16T12:00:00Z,2019-07-16T12:00:07Z,371194.5403610959,9929437.182764119,-0.6382725317930531,-76.15753423423513,12,2019-07-16
2019-07-16T12:15:00Z,2019-07-16T12:15:07Z,371083.45109911356,9929465.053593328,-0.6380202015914571,-76.15853236522425,12,2019-07-16
2019-07-16T12:30:00Z,2019-07-16T12:30:06Z,371040.48328448005,9929544.847280638,-0.6372983451006109,-76.15891828899025,12,2019-07-16
2019-07-16T12:45:00Z,2019-07-16T12:45:06Z,370997.10645518336,9929628.649400547,-0.6365402299160624,-76.15930787986034,12,2019-07-16
2019-07-16T13:00:00Z,2019-07-16T13:00:06Z,370978.235354438,9929645.622057054,-0.6363866664334027,-76.15947741083235,12,2019-07-16
2019-07-16T13:15:00Z,2019-07-16T13:15:06Z,370941.5220952877,9929673.879544098,-0.636130990466846,-76.15980723872372,12,2019-07-16
2019-07-16T13:30:00Z,2019-07-16T13:30:06Z,370924.26999474,9929667.69803864,-0.6361868698003335,-76.15996226899125,12,2019-07-16
2019-07-16T13:45:00Z,2019-07-16T13:45:06Z,370862.47610985435,9929619.420626715,-0.6366234342583621,-76.1605176120157,12,2019-07-16
2019-07-16T14:00:00Z,2019-07-16T14:00:06Z,370827.63940085785,9929619.952555066,-0.6366185518001563,-76.16083063417398,12,2019-07-16
2019-07-16T14:15:00Z,2019-07-16T14:15:06Z,370839.6169497558,9929547.510940338,-0.6372738419996765,-76.16072315721556,12,2019-07-16
2019-07-16T14:30:00Z,2019-07-16T14:30:06Z,370845.6981451889,9929585.853006963,-0.6369270337750195,-76.16066843736564,12,2019-07-16
2019-07-16T14:45:00Z,2019-07-16T14:45:06Z,370845.96052315086,9929590.943434672,-0.6368809891832765,-76.16066606948245,12,2019-07-16
2019-07-16T15:00:00Z,2019-07-16T15:00:06Z,370836.4826281304,9929592.399993818,-0.6368677946668775,-76.16075122961571,12,2019-07-16
2019-07-16T15:15:00Z,2019-07-16T15:15:06Z,370850.64370979776,9929603.098978179,-0.636771046558654,-76.1606239643829,12,2019-07-16
2019-07-16T15:30:00Z,2019-07-16T15:30:06Z,370873.2647847024,9929603.477044601,-0.6367676728501726,-76.16042070324083,12,2019-07-16
2019-07-16T15:45:00Z,2019-07-16T15:45:06Z,370869.5819805003,9929602.040689271,-0.6367806578088042,-76.16045379777427,12,2019-07-16
2019-07-16T16:00:00Z,2019-07-16T16:00:06Z,370865.9594015956,9929602.40821605,-0.636777325992524,-76.16048634750743,12,2019-07-16
2019-07-16T16:15:00Z,2019-07-16T16:15:06Z,370860.9715534156,9929603.792423801,-0.6367647950750394,-76.16053116273262,12,2019-07-16
2019-07-16T16:30:00Z,2019-07-16T16:30:06Z,370866.87780539924,9929611.250155183,-0.6366973486833125,-76.16047807735727,12,2019-07-16
